efac,spinodal,lnz_0,phase,temp,volume,run,system,beta,edge_distance,ntot,betaOmega,PE,dw
1.0,0,-4.066305916625,0,0.707,512.0,2,lj-n12m6,1.4144271570014144,472.0,17.163274932027978,-11.454032815406137,-8.685328962095252,0.9999999999999964
1.0,0,-4.066305916625,1,0.707,512.0,2,lj-n12m6,1.4144271570014144,23.0,463.7058954715339,-944.442678428748,-2991.2680874125904,934.5757600443751
1.0,1,-7.851671431434784,0,0.707,512.0,2,lj-n12m6,1.4144271570014144,486.0,0.2009406911384639,-0.20017594423292076,-0.0010717757841027468,687.3212009938702
1.0,1,-7.851671431434784,1,0.707,512.0,2,lj-n12m6,1.4144271570014144,116.0,367.84259630180134,683.023455109211,-1927.9301552788359,1.0
1.0,0,-4.175329589843749,0,0.707,512.0,3,lj-n12m6,1.4144271570014144,475.0,13.40198692807963,-9.672620647143322,-5.243183691494178,3.398910936249978
1.0,0,-4.175329589843749,1,0.707,512.0,3,lj-n12m6,1.4144271570014144,24.0,462.1714651682948,-889.5249344577294,-2974.244488845908,883.5845974517192
1.0,1,-7.841956592826089,0,0.707,512.0,3,lj-n12m6,1.4144271570014144,486.0,0.20086192501679656,-0.20009499137367168,-0.001071493472715471,687.377737652653
1.0,1,-7.841956592826089,1,0.707,512.0,3,lj-n12m6,1.4144271570014144,116.0,368.13464721836556,683.092410851817,-1930.7696545773485,0.9999999999998863
1.0,0,-4.056227246875,0,0.707,512.0,4,lj-n12m6,1.4144271570014144,472.0,17.16421611353882,-11.455284712205902,-8.683550962246821,0.9999999999999964
1.0,0,-4.056227246875,1,0.707,512.0,4,lj-n12m6,1.4144271570014144,22.0,463.7115448180785,-944.794018299543,-2991.342919394772,934.95046010625
1.0,1,-7.841125654565239,0,0.707,512.0,4,lj-n12m6,1.4144271570014144,486.0,0.2010424015127541,-0.20027601416156937,-0.001071728957277556,687.0429749791379
1.0,1,-7.841125654565239,1,0.707,512.0,4,lj-n12m6,1.4144271570014144,116.0,367.8581144710016,682.7464683830298,-1928.1458855723927,0.9999999999994316
1.0,0,-4.0632481600000006,0,0.708,512.0,1,lj-n12m6,1.4124293785310735,471.0,17.193709306476112,-11.48716343670908,-8.679368682704986,1.0
1.0,0,-4.0632481600000006,1,0.708,512.0,1,lj-n12m6,1.4124293785310735,22.0,463.5268549430694,-940.1891220398222,-2988.633504348777,930.2827004099998
1.0,1,-7.831728896956518,0,0.708,512.0,1,lj-n12m6,1.4124293785310735,486.0,0.20496667906598734,-0.20417180024380122,-0.0011121641651168428,683.8014431739116
1.0,1,-7.831728896956518,1,0.708,512.0,1,lj-n12m6,1.4124293785310735,116.0,367.7933252152867,679.4988850078207,-1927.0957147050924,1.0
1.0,0,-4.063302048875,0,0.708,512.0,2,lj-n12m6,1.4124293785310735,471.0,17.19651079925273,-11.488286069869368,-8.683868942128765,0.9999999999999964
1.0,0,-4.063302048875,1,0.708,512.0,2,lj-n12m6,1.4124293785310735,23.0,463.4570699799334,-939.862968261729,-2987.8820492895265,929.9729937999999
1.0,1,-7.832709722000003,0,0.708,512.0,2,lj-n12m6,1.4124293785310735,486.0,0.2048130636621951,-0.20402052456839795,-0.0011098434512038847,684.1956102870012
1.0,1,-7.832709722000003,1,0.708,512.0,2,lj-n12m6,1.4124293785310735,116.0,367.7147800372758,679.8996279362408,-1926.248691534709,0.9999999999998863
1.0,0,-4.126046752929687,0,0.708,512.0,3,lj-n12m6,1.4124293785310735,474.0,14.969605252463982,-10.354619372164832,-6.688862065053318,2.3623635075234297
1.0,0,-4.126046752929687,1,0.708,512.0,3,lj-n12m6,1.4124293785310735,24.0,462.5204637909124,-906.3690800162725,-2977.5068013571454,898.8121063191643
1.0,1,-7.8229973413913045,0,0.708,512.0,3,lj-n12m6,1.4124293785310735,486.0,0.20473396092451224,-0.2039391514253405,-0.00110956408125736,684.2502975127826
1.0,1,-7.8229973413913045,1,0.708,512.0,3,lj-n12m6,1.4124293785310735,116.0,367.7208979496763,679.9531508759463,-1926.3620011940889,1.0
1.0,0,-4.0532136633333335,0,0.708,512.0,4,lj-n12m6,1.4124293785310735,471.0,17.198134063011878,-11.489840993066423,-8.682824303119983,1.0000000000000036
1.0,0,-4.0532136633333335,1,0.708,512.0,4,lj-n12m6,1.4124293785310735,22.0,463.46993607817586,-940.2217739858665,-2988.0391715098813,930.3358639653331
1.0,1,-7.822189835499998,0,0.708,512.0,4,lj-n12m6,1.4124293785310735,486.0,0.2049130169389481,-0.20411879924715529,-0.0011097624277800265,683.9243279329993
1.0,1,-7.822189835499998,1,0.708,512.0,4,lj-n12m6,1.4124293785310735,116.0,367.72899538135016,679.6295400530504,-1926.4513756465296,0.9999999999998863
1.0,0,-4.06007961975,0,0.709,512.0,1,lj-n12m6,1.4104372355430184,471.0,17.233668187254523,-11.524407130180151,-8.685372475889494,1.0
1.0,0,-4.06007961975,1,0.709,512.0,1,lj-n12m6,1.4104372355430184,23.0,463.2846397426,-935.7067333851302,-2985.3212711276683,925.7650919000002
1.0,1,-7.812896922666663,0,0.709,512.0,1,lj-n12m6,1.4104372355430184,486.0,0.20888988787914797,-0.20806632047000787,-0.0011514287015951309,680.7123339066655
1.0,1,-7.812896922666663,1,0.709,512.0,1,lj-n12m6,1.4104372355430184,116.0,367.6579433068882,676.4111886887787,-1925.338762811065,1.0000000000001137
1.0,0,-4.060117084375,0,0.709,512.0,2,lj-n12m6,1.4104372355430184,471.0,17.237084216707093,-11.525811056937822,-8.69052852072376,1.000000000000007
1.0,0,-4.060117084375,1,0.709,512.0,2,lj-n12m6,1.4104372355430184,23.0,463.2105775845391,-935.3900535492184,-2984.5230283460915,925.4685860199999
1.0,1,-7.813911930416664,0,0.709,512.0,2,lj-n12m6,1.4104372355430184,486.0,0.20872602518034067,-0.20790494868044743,-0.0011489492418402794,681.1190449721655
1.0,1,-7.813911930416664,1,0.709,512.0,2,lj-n12m6,1.4104372355430184,116.0,367.5764750073118,676.8242715960479,-1924.4633684161963,1.0
1.0,0,-4.05002726125,0,0.709,512.0,3,lj-n12m6,1.4104372355430184,471.0,17.236889831883317,-11.526320232339355,-8.688191103271887,1.000000000000007
1.0,0,-4.05002726125,1,0.709,512.0,3,lj-n12m6,1.4104372355430184,23.0,463.21153123824996,-935.6217728013381,-2984.5616135004457,925.6993679099999
1.0,1,-7.804055173478265,0,0.709,512.0,3,lj-n12m6,1.4104372355430184,486.0,0.20867791599154184,-0.20785423587221646,-0.0011489994799398296,681.1168437329578
1.0,1,-7.804055173478265,1,0.709,512.0,3,lj-n12m6,1.4104372355430184,116.0,367.5990041919651,676.8213574650166,-1924.7428826789965,0.9999999999998863
1.0,0,-4.050054862625,0,0.709,512.0,4,lj-n12m6,1.4104372355430184,471.0,17.238087132566896,-11.52708523294711,-8.688824203640161,1.0000000000000036
1.0,0,-4.050054862625,1,0.709,512.0,4,lj-n12m6,1.4104372355430184,23.0,463.23032386217807,-935.7403697108537,-2984.7589778881757,925.8087567399999
1.0,1,-7.803382922833337,0,0.709,512.0,4,lj-n12m6,1.4104372355430184,486.0,0.2088318786948982,-0.20800902453853365,-0.0011489127170252371,680.8410424393346
1.0,1,-7.803382922833337,1,0.709,512.0,4,lj-n12m6,1.4104372355430184,116.0,367.5932264176052,676.5475057730135,-1924.6917934041758,1.0
1.0,0,-4.0569237355,0,0.71,512.0,1,lj-n12m6,1.4084507042253522,471.0,17.27352039310705,-11.561595071750808,-8.691521572547153,1.0
1.0,0,-4.0569237355,1,0.71,512.0,1,lj-n12m6,1.4084507042253522,23.0,463.0419389911203,-931.2410130614329,-2982.0049573381466,921.2651567500003
1.0,1,-7.794162436913064,0,0.71,512.0,1,lj-n12m6,1.4084507042253522,486.0,0.21286774251792093,-0.21201461133903102,-0.0011919034687765649,677.6461770519201
1.0,1,-7.794162436913064,1,0.71,512.0,1,lj-n12m6,1.4084507042253522,117.0,367.5190258718237,673.3475792869297,-1923.5481737914079,0.9999999999995453
1.0,0,-4.056961927874999,0,0.71,512.0,2,lj-n12m6,1.4084507042253522,471.0,17.2768933045222,-11.562984866431087,-8.696630435017443,0.9999999999999964
1.0,0,-4.056961927874999,1,0.71,512.0,2,lj-n12m6,1.4084507042253522,23.0,462.96371234171704,-930.9260522778305,-2981.16101561055,920.9688174400004
1.0,1,-7.795126116000003,0,0.71,512.0,2,lj-n12m6,1.4084507042253522,486.0,0.2127116348589998,-0.2118610071370407,-0.0011894512130462451,678.0353372240011
