phase,temp,beta,volume,system,binodal,lnz_0,edge_distance,ntot,betaOmega,PE,dens,pres,pe_n,size,lnz_0_stderr,edge_distance_stderr,ntot_stderr,betaOmega_stderr,PE_stderr,dens_stderr,pres_stderr,pe_n_stderr,size_stderr
0,0.891,1.122334455667789,512.0,lj-n12m6,0,-4.480046314999997,480.0,6.923333697336929,-6.314148990735937,-0.9572939605094132,0.01352213612761119,0.07607427741479342,-0.13827066396622217,4,-4.480046314999997,480.0,6.923333697336929,-6.314148990735937,-0.9572939605094132,0.01352213612761119,0.07607427741479342,-0.13827066396622217,4
0,0.892,1.1210762331838564,512.0,lj-n12m6,0,-4.473193646249918,480.0,6.97821504246262,-6.36056680570734,-0.9717807203950193,0.013629326254809804,0.07732769471453713,-0.13925920899284402,4,-4.473193646249918,480.0,6.97821504246262,-6.36056680570734,-0.9717807203950193,0.013629326254809804,0.07732769471453713,-0.13925920899284402,4
0,0.893,1.1198208286674132,512.0,lj-n12m6,0,-4.46636050400009,480.0,7.033419920997612,-6.407209436162337,-0.9864572997796661,0.01373714828319846,0.07859899048546547,-0.1402528638095058,4,-4.46636050400009,480.0,7.033419920997612,-6.407209436162337,-0.9864572997796661,0.01373714828319846,0.07859899048546547,-0.1402528638095058,4
0,0.894,1.1185682326621924,512.0,lj-n12m6,0,-4.459546816750102,480.0,7.088949678649701,-6.454077285145992,-1.00132582613386,0.013845604841112698,0.07988838020559101,-0.14125164628755468,4,-4.459546816750102,480.0,7.088949678649701,-6.454077285145992,-1.00132582613386,0.013845604841112698,0.07988838020559101,-0.14125164628755468,4
0,0.895,1.1173184357541899,512.0,lj-n12m6,0,-4.452752512749731,480.0,7.144805667657346,-6.501170756029403,-1.0163884477898175,0.013954698569643254,0.08119608152934878,-0.1422555743846915,4,-4.452752512749731,480.0,7.144805667657346,-6.501170756029403,-1.0163884477898175,0.013954698569643254,0.08119608152934878,-0.1422555743846915,4
0,0.896,1.1160714285714286,512.0,lj-n12m6,0,-4.445977520250041,480.0,7.200989246471316,-6.5484902484045,-1.031647334110394,0.01406443212201429,0.08252231425073504,-0.14326466614913824,4,-4.445977520250041,480.0,7.200989246471316,-6.5484902484045,-1.031647334110394,0.01406443212201429,0.08252231425073504,-0.14326466614913824,4
0,0.897,1.1148272017837235,512.0,lj-n12m6,0,-4.439221767250025,479.0,7.257501777809173,-6.5960361621964365,-1.0471046750020332,0.014174808159783541,0.08386730034929372,-0.1442789396656489,4,-4.439221767250025,479.0,7.257501777809173,-6.5960361621964365,-1.0471046750020332,0.014174808159783541,0.08386730034929372,-0.1442789396656489,4
0,0.898,1.1135857461024499,512.0,lj-n12m6,0,-4.432485184000007,479.0,7.3143446322847865,-6.64380889366331,-1.0627626821639384,0.014285829359931224,0.08523126399875429,-0.14529841313209296,4,-4.432485184000007,479.0,7.3143446322847865,-6.64380889366331,-1.0627626821639384,0.014285829359931224,0.08523126399875429,-0.14529841313209296,4
0,0.899,1.1123470522803114,512.0,lj-n12m6,0,-4.425767698500016,479.0,7.371519184109941,-6.691808839457965,-1.078623588113272,0.014397498406464728,0.0866144315863408,-0.14632310478498206,4,-4.425767698500016,479.0,7.371519184109941,-6.691808839457965,-1.078623588113272,0.014397498406464728,0.0866144315863408,-0.14632310478498206,4
0,0.9,1.1111111111111112,512.0,lj-n12m6,0,-4.419069241749759,479.0,7.429026815876811,-6.740036393742317,-1.0946896476228614,0.014509817999759396,0.08801703174933337,-0.14735303297642408,4,-4.419069241749759,479.0,7.429026815876811,-6.740036393742317,-1.0946896476228614,0.014509817999759396,0.08801703174933337,-0.14735303297642408,4
0,0.901,1.1098779134295227,512.0,lj-n12m6,0,-4.41238974324976,479.0,7.486868914030471,-6.7884919482948165,-1.1109631367346484,0.014622790847715764,0.08943929534076324,-0.14838821610414304,4,-4.41238974324976,479.0,7.486868914030471,-6.7884919482948165,-1.1109631367346484,0.014622790847715764,0.08943929534076324,-0.14838821610414304,4
